sentense_clean,my_ent_1,their_ent_1,my_ent_2,their_ent_2,label
"The Iraq Museum of Baghdad is to display 40 ancient artefacts at the Venice Biennale this year, including several that were recently returned after its looting in 2003.",The Iraq Museum of Baghdad,The Iraq Museum of Baghdad,None,Venice,0
A Cleves man is facing voyeurism charges after an alleged incident inside a west side Target store.,man,Cleve,Target,Target,0
 House Speaker Paul D. Ryan ( .) ended a holdout by formally backing his party’s presumptive presidential nominee: Donald Trump.,Paul D. Ryan,House,Donald Trump,Donald Trump,0
"The Duchess has let slip that she would like a boy, while William wants a girl, and she may have inadvertently given the game away on a walkabout earlier this month when she accepted a teddy bear from a well-wisher with the words: ""I will take that for my d..."" before stopping herself.",she,Duche,William,William,0
"The United Kingdom was New Zealands fourth-largest tourism market, accounting for around 11 percent of visitor spending.",The United Kingdom,The United Kingdom,New Zealands,New Zealand,0
"In a related criticism, the U. S. Free Trade Agreement with South Korea is said to have reduced American exports of dairy products to that country by 88 percent, while the increased trade deficit with Korea was large enough to account for the loss of 102, 500 U. S. jobs in just four years.",South Korea,the U. S. Free Trade Agreement,American,American,0
"Trump also led among the 51 percent of GOP voters who support tax increases for those with incomes over $200, 000; the 47 percent who favor a higher minimum wage; the 32 percent who favor “government paying necessary medical costs for every American citizen”; and the 38 percent who like labor unions. ",Trump,Trump,American,GOP,0
"Yet the US government has been violating this law for years, quietly supporting allies and partners of al-Qaeda, ISIL, Jabhat Fateh al Sham and other terrorist groups with money, weapons, and intelligence support, in their fight to overthrow the Syrian government.",al-Qaeda,ISIL,ISIL,Syrian,0
"German troops and armour are also due to reinforce Lithuania this month as part of NATO's plans, which are designed to reassure European countries after Russia's 2014 annexation of Ukraine's Crimea.",German,NATO,European,European,0
"U.S. policymakers have already been questioning whether Europe will apply the global accord properly, while some EU lawmakers doubt the United States will apply Basel III at all after failing to introduce its predecessor accord on time.",U.S.,EU,EU,the United State,0
"Iran has expressed support for Shiite-led protests in Bahrain against the ruling Sunni Al Khalifa family, allies of Saudi Arabia.",Shiite,Bahrain,Sunni,Sunni,0
"Disney CEO Bob Iger, one of the few entertainment industry executives asked to attend President Donald Trump’s policy forum at the White House this week, will not be attending the event.",Bob Iger,Disney,Donald Trump,Bob Iger,0
U. S. goalkeeper Hope Solo said the Zika outbreak in Brazil could keep her out of the Summer Olympics in August.,Hope Solo,U. S.,her,Zika,0
"The failure of American and global leaders to address climate change is akin to world rulers who appeased the Nazis before World War II, an environmental advocate charges.",American,American,Nazis,Nazi,0
"Jared Grusd, the CEO of The Huffington Post, spoke at the Dublin Tech summit this week discussing the future of digital content and technology.",Jared Grusd,The Huffington Post,The Huffington Post,Dublin Tech,0
"White House senior adviser Jared Kushner landed in Iraq Monday, his first visit to the country since assuming a broad portfolio of foreign affairs in the Trump presidency.",Jared Kushner,Monday,Trump,first,0
"David Marcus, vice president of messaging at Facebook, said that the company developed the Discover page within the app to help with recommending relevant bots to users, something both developers working with Messenger and users have repeatedly asked for.",David Marcus,Facebook,president,Messenger,0
"As a result, Russia will accept having military power commensurate with its economy and, while it will retain a nuclear deterrent, will cease to be a global military power, and thus will cease to hold such sway over Eastern Europe, Central Asia, and (to a lesser extent) the Middle East. ",Russia,Russia,None,Central Asia,0
"The first is the RNC-sanctioned February start date: Iowa goes Feb. 6, New Hampshire Feb. 14, Nevada, Feb. 18, South Carolina Feb. 28, and Super Tuesday is March 6.",RNC,New Hampshire,Iowa,Nevada,0
Devin Nunes (R. Calif.) will not step down from the chairmanship of the House Intelligence Committee.,Devin Nunes,R.,R.,the House Intelligence Committee,0
"Huge GOP majority backs Trumps Putin performance, reports Axios, summarizing results from a new poll.",GOP,GOP,Putin,Trumps Putin,0
"Though the 63-year-old Scott was cited by Redwood City police on the misdemeanor charge, the district attorney said the case is under review to determine which charges should be filed.We expect the blood test results will be received and considered by my charging prosecutor this week, Wagstaffe said.",Scott,Redwood City,Wagstaffe,Wagstaffe,0
"Residents in the Williamsburg neighborhood where a gay, black man was of an Jewish patrol group stonewalled police when they began investigating the attack, a detective testified Tuesday.",man,Williamsburg,police,Jewish,0
" Update: An earlier version of this article referenced a study by two political scientists, Kyle Kopko and Christopher Devine, on whether Green Party presidential candidate Jill Stein",Kyle Kopko,Christopher Devine,Christopher Devine,Jill Stein,0
The former CIA director John Brennan has described Donald Trump’s travel ban on visitors from Muslim countries as “simplistic and misguided” predicting it would be counterproductive if implemented.,John Brennan,CIA,Donald Trump’s,Muslim,0
"With respect to Muslim immigrant communities that are already here, we must have sensible surveillance policies that identify and focus police attention on mosques and community centers that endorse Islamic supremacism.",Muslim,Muslim,police,Islamic,0
The estate of Whitney Houston has nixed a performance by a hologram of the late singer that was scheduled for next week’s season finale of NBC’s “,Whitney Houston,Whitney Houston,NBC,NBC’,0
’s office says Russia’s ambassador to the United Nations died last month from a heart attack and no foul play was suspected.,ambassador,heart,the United Nations,foul,0
A Trump Organization senior vice president told The Post that it was ”an honest mistake” that the contribution wasn’’t properly listed.,Trump Organization,Trump Organization,president,The Post,0
"Cota was piloting the container ship Costa Buscan when it struck the Bay Bridge on Nov. 7, 2007.While piloting the ship from port in heavy fog, he failed to pilot a collision-free course and failed to adequately review the proposed course with the Captain and crew on official navigational charts, the Justice Department said.",Cota,Cota,he,the Justice Department,0
"On the January 11 Breitbart News Daily show, broadcast on Sirius XM Patriot channel 125 from 6AM to 9AM EST, host and Breitbart News executive chairman Stephen K. Bannon will interview a number of guests, including former American Major League Baseball pitcher Curt Schilling will discuss a variety of topics, including his hall of fame prospects, Islam, Sarah Palin, and more. ",Stephen K. Bannon,Sirius XM Patriot,Curt Schilling,American Major League Baseball,0
"The Yankees were losers of six of nine games entering Saturday’s game in St. Petersburg, Fla. and Joe Girardi’s anger boiled over.",Yankees,Yankee,Joe Girardi’s,St. Petersburg,0
"- Gold traded steady on Tuesday following its biggest one-day rise in two weeks, supported by hopes of a U.S. solution to its fiscal problems and Middle East tension, but weighed down by a firmer dollar as a result of Frances rating downgrade.",U.S.,U.S.,Frances,France,0
"Lost to Iowa 77-69, beat Syracuse 80-65 and Green Bay 83-72Next up: vs. Texas Southern (Monday)Comment: Beat em, then root for em:",Syracuse,Iowa,Texas Southern,Texa,0
"The Camp David Accords between Israel and Egypt were negotiated in its cabins under President Jimmy Carter, and George W. Bush gathered his Cabinet there after the terror attacks.",Jimmy Carter,Egypt,George W. Bush,Cabinet,0
Season 2 of “Fargo” pitted two families against each other for a bloody and outrageously funny revenge story that left at least a dozen characters dead ,None,Season 2,None,Fargo,0
"Also in April, Kandahar's police chief was killed by an attacker in a police uniform, while in January Wesa's deputy was killed.",police,Kandahar,police,Wesa,0
"Warren, a hero to the liberal wing of the party, also faulted Trump for criticizing the 2010 Act that sought to overhaul the U. S. financial sector following the recession.",Warren,Warren,Trump,U. S.,0
"It was the Lions batting that was the biggest disappointment as the openers James Vince and Alex Hales both failed to capitalise on decent starts, and Ravi Bopara, James Taylor and Jason Roy all fell for single-figure scores.",James Vince,James Vince,Alex Hales,Alex Hale,0
"Republicans may be predisposed to support Carson, but how he addresses this issue at his confirmation hearings could be crucial to his chances of Senate approval.",Carson,Republican,he,Carson,0
"As the US stands on the verge of an election whose results mean widely differing outcomes for immigration policy, it has also become a time to examine Barack Obama’s legacy.",US,US,Barack Obama’s,Barack Obama’,0
(PTI) Chairman Imran Khan welcomed Supreme Court's probe into KP governments advertisementsImran Khan in a tweet stated that there was an official policy that neither the CM nor ministers were allowed to put their pictures on government ads.,Imran Khan,PTI,advertisementsImran Khan,Khan,0
"Senator Tim Kaine skipped a vote on Water Safety and Infrastructure that would affect the Flint, Michigan water crisis, choosing instead to raise campaign funds in Illinois.",Senator Tim Kaine,Flint,Water Safety and Infrastructure,Illinoi,0
"In another blow to AIG’s old former CEO, a federal appeals court on Tuesday threw out an earlier ruling that the US government had overstepped its bounds when it bailed out the insurance giant during the 2008 financial crisis.",AIG,federal,US,bailed,0
"Warner Music also applauded the verdict, according to The Hollywood Reporter:",Warner Music,Warner Music,The Hollywood Reporter,Hollywood,0
 When Tom Hanks won his first Oscar for Philadelphia in 1994 — playing the role of a lawyer with AIDS who fights back when his firm unlawfully fires him ,Tom Hanks,Oscar,him,Philadelphia,0
"While Rep. Keith Ellison ( ) touted on MSNBC’s “AM Joy” Saturday why he is a better candidate for chair of the Democratic National Committee, host Joy Reid tacked on that what he accomplished was done while being black and Muslim, “two things in the crosshairs of Trumpworld. ” ",Keith Ellison,the Democratic National Committee,Joy Reid,Muslim,0
At the end of September no less than 50 Bush appointees came out with a forceful endorsement of GOP nominee Donald Trump.,Bush,Bush,Donald Trump,GOP,0
"Simon Pegg, who has the latest Star Trek movie, as well as starring as Scotty, has responded to criticism by the actor George Takei at the ’ decision to make the character he used to play openly gay.",Simon Pegg,Star Trek,Scotty,George Takei,0
"New San Francisco 49ers linebacker Reuben Foster had an interesting beginning to his NFL career, as he explained during his introductory press conference on Friday.",Reuben Foster,beginning,he,explained,0
"Some of them I think secretly want there to be an attack on the United States so they can blame it on me,"" Paul said on the Senate floor Sunday night.",them I,the United State,they,Senate,0
"Moldbug has rejected white nationalism by name (his father is Jewish, for one thing) but only in the course of praising many aspects of it: ”Although I am not a white nationalist, I am not exactly allergic to the stuff … ",Moldbug,Moldbug,I,Jewish,0
"Liz Wile, a 26-year-old subscriber of AT&Ts video and broadband service in Burbank, California, said she does not watch much video on her phone because of high data charges.",Liz Wile,Liz Wile,she,Burbank,0
"The White House also criticized the report Thursday, with spokesman Josh Earnest saying the administration had ”significant objections” to it.",Josh Earnest,The White House,administration,Josh Earnest,0
"Meanwhile, Asha’s (Brooklyn Sudano) trust in Elena (Layla Alizada) proves to be misplaced and leaves Bryan (Clive Standen) in a vulnerable position.",Asha,Asha’s (Brooklyn Sudano,Brooklyn Sudano,Bryan,0
’ ’ Gov. John Kasich of Ohio wants to bridge the divides in America.,John Kasich,bridge,Ohio,divide,0
Heidi Cruz said on the Indiana campaign trail Saturday that her husband Ted Cruz “is an immigrant. ”,Heidi Cruz,Heidi Cruz,Ted Cruz,Indiana,0
"Today, when we see an attack, whether in Paris, whether in Brussels, whether in San Bernardino, inevitably President Obama goes on national television, refuses to say the words radical Islamic terrorism and instead lectures the American people on Islamophobia.",President Obama,Brussel,Islamic,Islamic,0
"It was hot at the National Zoo in Washington, D. C. this weekend.",Washington,the National Zoo,D. C.,Washington,0
"For his bookshop and website One Grand Books, the editor Aaron Hicklin asked people to name the 10 books they’d take with them if they were marooned on a desert island.",Aaron Hicklin,Grand Book,they,Aaron Hicklin,0
"(And they call themselves strict interpreters of the Bible!)To those who cite Bill O'Reilly's self-professed opposition to the death penalty I say, Tell it to the 30,000 Iraqi dead (probably more) as a result of the war he supports.",they,Bible!)To,Bill O'Reilly's,Iraqi,0
" In her superb New Yorker profile of Ford Foundation president Darren Walker, writer Larissa MacFarquhar tells us about his great uncle Daddy C.",Darren Walker,Ford Foundation,Larissa MacFarquhar,Darren Walker,0
" John D. Whiting ( ) worked as a tour guide, businessman, writer and photographer throughout the Middle East.",John D. Whiting,John D. Whiting,None,the Middle East,0
"During a joint news conference with Japanese Prime Minister Shinzo Abe, Trump said the U. S. relationship is the “cornerstone of peace and stability in the Pacific region.",Shinzo Abe,Trump,Trump,U. S.,0
"But regardless Chris, it is critical that we as candidates, we as Democratic Party leaders, everyone involved needs to make sure that we can take all the steps that we need to ensure that the process is not only run smoothly, but that the response from the supporters from both candidates is appropriate and civil.",Chris,Chri,Democratic Party,Democratic Party,0
"Despite what many Armenians and their supporters claim, there is no authentic document that proves that the Ottoman authorities intended to wipe out the Armenians.",Armenians,Armenian,Ottoman,Ottoman,0
"A group of prominent Democrats who served in recent administrations, including John Kerry and Madeleine K. Albright, have called on the courts to extend a ruling blocking crucial parts of President Trump’s travel ban, saying the White House executive order would “endanger U. S. troops” and disrupt antiterrorism efforts.",John Kerry,Madeleine K. Albright,Madeleine K. Albright,White House,0
"On its first series of the game, Kentucky reached the Texas A&M 48-yard line, but was penalized for a false start there, and the Wildcats didn't return to Aggies' territory until getting the football at the 25 to start overtime.",Kentucky,Kentucky,Texas A&M,Wildcat,0
"It must be enforced everywhere.""As tensions simmered in the southwest Paris suburb, Valls announced that reinforced police deployments would remain in place as long as necessary until a lasting calm is restored in Trappes.",Valls,Pari,police,Trappe,0
"Back in 2014, Laura Poitras brought out Citizenfour, her documentary about Edward Snowden’s revelations of the NSA’s illegal surveillance program.",Laura Poitras,Edward Snowden’,Edward Snowden’s,NSA,0
The world’s biggest hedge fund thinks stock markets around the world will tank if Donald Trump wins the US presidential election.,Donald Trump,presidential,US,.,0
Many opponents have taken to Twitter to remind Calexit backers that Texas already tried to secede in the past  and failed miserably.,Texas,Calexit,None,Texa,0
"ICE charges premium prices for premium services and that has led to a higher share price for the Atlanta-based exchange, Sprecher said.Ive never been one to try to get to the bottom and compete simply on price.",ICE,ICE,Sprecher,Atlanta,0
"Clinton currently has strong support from voters, who will be crucial in the Democratic primary in South Carolina on Feb. 27. ",Clinton,Clinton,Democratic,South Carolina,0
"It attacks the alveoli and crosses the pulmonary barrier into the bloodstream, from where it affects every other organ,"" says Roopa Baddi, a GP who treats patients in the shanty area surrounding the now-defunct plant.",Roopa Baddi,Roopa Baddi,None,GP,0
"Addressing his usual crowd in Chicago on Monday, President Obama briefly effected some humility.",Chicago,Chicago,President Obama,Obama,0
"A New York-born convert to Islam, he is one of only two U.S. citizens who are enemy combatants, a designation by President Bush that allows indefinite detention without charges for Al Qaeda suspects and their associates.",he,Islam,President Bush,U.S.,0
"Canada's largest circulation daily, the Toronto Star, has endorsed the Liberals, while the second largest daily, the Globe and Mail, gave its support to the Conservatives in an editorial this week that typifies the tone of the campaign.""Are (the Conservatives) the ideal alternative?",Liberals,the Toronto Star,Conservatives,Conservative,0
"In his first public comments since waving the white flag on Deflategate, Tom Brady called it a “personal decision” to drop his fight against the NFL to overturn his suspension.",Tom Brady,Deflategate,NFL,Tom Brady,0
"Airports in New York City, Philadelphia and Baltimore were resuming very limited service Sunday, a day after a punishing blizzard dumped two feet or more of snow and brought transportation to a standstill along the East Coast.",New York City,New York City,Philadelphia,the East Coast,0
" A majority of Americans, including a growing number of Republicans, want to see an ”independent investigation” sort out any connections between Russia and President Donald Trump during the 2016 election campaign, according to a opinion poll released on Monday.",Americans,Republican,Republicans,Donald Trump,0
"Barbro Holmberg, mother of Woods' wife Elin, was admitted in the early hours of the morning after an emergency call from Woods' home near Orlando, Florida.",Barbro Holmberg,Barbro Holmberg,Woods,Wood,0
Weiner’s latest sexting partner was described by the Post as a “busty brunette” and a Donald Trump supporter.,Weiner,Weiner’,Donald Trump,Post,0
"Fleetwood Mac legend Stevie Nicks will appear on Lana Del Rey’s forthcoming fifth album, Lust for Life.",Stevie Nicks,Lana Del Rey’,Lana Del Rey’s,Lust for Life,0
Murgio and were accused of processing millions of dollars from 2013 to 2015 into the virtual currency bitcoin through the unlicensed exchange Coin.,Murgio,Murgio,None,Coin,0
